ABAD,Superior de un monasterio
ABRA,Bahia grande y segura
ACNE,Granos en la piel
ACRE,De sabor aspero
ACTA,Documento oficial de reunion
ACTO,Hecho o accion
ADAN,Primer hombre biblico
AFIN,Que tiene afinidad
AGIL,Que se mueve con soltura
AGUA,Liquido que bebemos
AIRE,Gas que respiramos
ALBA,Primera luz del dia
ALFA,Primera letra griega
ALGA,Vegetal del mar
ALGO,Cosa indeterminada
ALMA,Parte espiritual del ser
ALTO,De mucha altura
ALUD,Desprendimiento de nieve
AMAR,Sentir amor por alguien
AMOR,Sentimiento profundo de afecto
ANIS,Licor dulce aromatico
ANTE,Preposicion delante
APIO,Verdura verde y larga
APTO,Idoneo para algo
AQUI,En este lugar
ARAR,Remover la tierra
ARCA,Caja grande antigua
ARCO,Arma que dispara flechas
AREA,Extension de superficie
ARMA,Instrumento de ataque
ARPA,Instrumento de cuerdas pulsadas
ARTE,Expresion creativa humana
ASAR,Cocinar al fuego
ASCO,Repugnancia fuerte
ASEO,Limpieza personal
ASNO,Burro animal de carga
ASPA,Brazo del molino
ATAR,Unir con nudos
ATUN,Pez grande comestible
AUGE,Momento de mayor intensidad
AULA,Sala de clases
AURA,Halo que rodea algo
AUTO,Vehiculo de cuatro ruedas
AVAL,Garantia de pago
AYER,Dia anterior a hoy
AZAR,Casualidad fortuita
AZUL,Color del cielo
BABA,Saliva espesa
BACA,Portaequipajes del coche
BAJA,Perdida o descenso
BAJO,De poca altura
BALA,Proyectil de arma de fuego
BASE,Fundamento o apoyo
BATA,Prenda holgada de casa
BEBE,Nino muy pequeno
BECA,Ayuda economica para estudiar
BESO,Caricia con los labios
BOCA,Abertura de la cara
BODA,Ceremonia de casamiento
BOGA,Moda actual
BOLA,Objeto esferico
BOLO,Pieza de juego alargada
BOTA,Calzado alto
BOTE,Barca pequena
BOYA,Senal flotante en el mar
BOZO,Vello sobre el labio
BUEY,Toro castrado
BULA,Documento del papa
BUZO,Persona que bucea
CABO,Extremo de algo
CADA,Distributivo individual
CAER,Perder equilibrio
CAFE,Bebida oscura estimulante
CAJA,Recipiente rectangular
CALA,Pequena bahia
CAMA,Mueble para dormir
CANO,De pelo blanco
CAOS,Desorden extremo
CAPA,Prenda que cubre los hombros
CAPO,Jefe de una mafia
CARA,Parte delantera de la cabeza
CARO,De precio elevado
CASA,Edificio para vivir
CASO,Suceso o asunto
CATA,Accion de probar sabores
CAVA,Vino espumoso espanol
CAZA,Accion de perseguir animales
CAZO,Utensilio de cocina con mango
CEBO,Comida para atraer animales
CEJA,Linea de pelo sobre el ojo
CELO,Cinta adhesiva
CENA,Comida de la noche
CERA,Sustancia de las abejas
CERO,Numero nulo
CHAL,Panuelo grande de mujer
CHEF,Cocinero principal
CHIC,Elegante con estilo
CHIP,Pequeno circuito electronico
CIEN,Numero despues de noventa y nueve
CIMA,Parte mas alta
CINC,Metal de color gris azulado
CINE,Lugar de proyeccion de peliculas
CITA,Encuentro acordado
CLAN,Grupo familiar extenso
CLIC,Sonido de un boton
CLIP,Sujetapapeles metalico
CLON,Copia identica
CLUB,Asociacion de personas
COCA,Planta andina
COCO,Fruto tropical de cascara dura
CODA,Final de una pieza musical
CODO,Articulacion del brazo
COLA,Parte trasera de un animal
COMA,Signo de puntuacion
COMO,Adverbio de modo
COPA,Vaso con pie
COPO,Porcion de nieve o algodon
CORO,Grupo de cantantes
COSA,Objeto cualquiera
COSO,Recinto taurino
COTA,Nivel de altura
CRIA,Descendencia animal
CRIN,Pelo largo de caballos
CRUZ,Simbolo cristiano
CUAL,Pronombre relativo
CUBA,Isla del Caribe
CUBO,Recipiente con asa
CUCO,Reloj de pared con pajaro
CUNA,Cama para bebes
CURA,Sacerdote catolico
DADO,Objeto cubico para juegos
DAGA,Espada corta
DAMA,Mujer distinguida
DATO,Informacion
DEMO,Version de prueba
DIAL,Selector de radio
DIEZ,Numero despues del nueve
DIOS,Ser divino supremo
DIVA,Cantante muy famosa
DOCE,Numero despues del once
DODO,Ave extinta
DOMA,Accion de amaestrar animales
DOTE,Bienes que aporta la novia
DRIL,Tela resistente de algodon
DUAL,De dos componentes
DUDA,Falta de certeza
DUNA,Monticulo de arena
DURO,Que no se deforma facil
EDAD,Tiempo vivido
EDEN,Paraiso terrenal
EDIL,Concejal municipal
ELFO,Ser mitologico de los bosques
ELLA,Pronombre femenino
ELLO,Pronombre neutro
EMIR,Principe arabe
ENTE,Ser que existe
ESTA,Forma verbal de estar
ESTE,Punto cardinal del amanecer
ESTO,Pronombre demostrativo neutro
EURO,Moneda europea
FABA,Legumbre similar a la judia
FADO,Cancion tradicional portuguesa
FAJA,Tira que cine el cuerpo
FAMA,Reconocimiento publico
FARO,Torre con luz para barcos
FASE,Etapa de un proceso
FETO,Embrion en desarrollo
FIEL,Que tiene lealtad
FIJO,Que no se mueve
FILA,Linea de personas
FINO,Delgado y suave
FLAN,Postre dulce de huevo
FLOR,Parte colorida de la planta
FOCA,Mamifero marino
FOCO,Punto central
FOSA,Hoyo profundo en la tierra
FOTO,Imagen captada
FRAC,Chaqueta formal con colas
FRIA,Sin calor
FRIO,Sin calor
FUEL,Combustible liquido
FUGA,Huida rapida
GAFA,Lentes para los ojos
GAFE,Que trae mala suerte
GALA,Acto festivo formal
GAMA,Serie de elementos
GASA,Tela fina transparente
GATO,Felino domestico
GEMA,Piedra preciosa
GIGA,Unidad de memoria digital
GIRA,Viaje artistico
GIRO,Movimiento rotativo
GOLF,Deporte con palos
GOMA,Material elastico
GONG,Instrumento de percusion circular
GOTA,Pequena porcion de liquido
GOZO,Alegria intensa
GRAN,De gran tamano
GRIS,Color entre blanco y negro
GRUA,Maquina para levantar peso
GULA,Pecado de exceso al comer
GURU,Lider espiritual hindu
HABA,Semilla comestible
HADA,Ser magico femenino
HALO,Circulo luminoso
HATO,Conjunto de ganado
HAYA,Tipo de arbol
HENO,Hierba seca para animales
HIEL,Liquido amargo del cuerpo
HIGO,Fruto dulce oscuro
