ABEND,Spaete Tageszeit
ADLER,Wappenvogel majestaetisch
AGENT,Geheimer Beobachter
AKTEN,Schriftstuecke Ordner
AKTIV,Lebhaft taetig
ALARM,Warnsignal
ALBUM,Sammlung von Fotos
ALGEN,Wasserpflanzen
ALIBI,Unschuldsbeweis
ALPHA,Erster griechischer Buchstabe
ALTER,Zahl der Lebensjahre
AMBOS,Schmiedeunterlage
AMPEL,Verkehrssignal
ANDER,Nicht dasselbe
ANGEL,Ruete zum Fischen
ANGST,Gefuehl der Furcht
ANKER,Schiffshalterung
APFEL,Rote Frucht vom Baum
APRIL,Vierter Monat
ARENA,Kampfplatz
ARMEE,Militaerische Streitmacht
ASCHE,Rueckstand vom Feuer
ASKET,Enthaltsamer Mensch
ASSEL,Kellertier
ASTER,Herbstblume
ATLAS,Buch mit Karten
ATMEN,Luft holen
AUDIO,Tontechnik
AUTOR,Verfasser von Buechern
BACKE,Wange oder Brotseite
BADEN,In der Wanne waschen
BAGEL,Ringbrot
BALDE,Bald
BALSA,Leichtes Holz
BANDE,Gruppe
BARON,Adelstitel
BASIS,Grundlage
BAUCH,Vorderseite des Rumpfes
BAUEN,Errichten
BAUER,Landwirt
BEBEN,Zittern oder Erdbeben
BEERE,Kleine Frucht
BEIDE,Zwei zusammen
BEIGE,Sandfarbe
BESEN,Putzgeraet mit Borsten
BESTE,Das Allergroesste
BEULE,Schwellung nach Stoss
BEUTE,Erbeutetes
BIBEL,Heilige Schrift der Christen
BIBER,Nagetier mit Kelle
BIENE,Honigsammlerin
BIEST,Wildes Tier
BIRKE,Baum mit weisser Rinde
BITTE,Gefaelligkeitsformel
BLATT,Papier oder Pflanzenteil
BLICK,Kurze Augenwendung
BLIND,Nicht sehen koennend
BLITZ,Helle Entladung im Gewitter
BLOND,Helles Haar
BLUME,Bluete auf Stiel
BLUSE,Oberbekleidung Frau
BODEN,Unterer Abschluss
BOGEN,Gekruemmte Form
BOMBE,Sprengsatz
BONUS,Zusaetzliche Belohnung
BRAUE,Augenbraue
BRAUN,Farbe der Erde
BRAUT,Frau am Hochzeitstag
BREIT,Weit gerne
BRETT,Flaches Stueck Holz
BRIEF,Schriftliche Mitteilung
BRUCH,Riss
BRUST,Vorderer Oberkoerperteil
BUCHE,Laubbaumart
BUCHT,Kuestenabschnitt
BUDEN,Einfache Haeuser
CELLO,Streichinstrument
CHAOS,Komplette Unordnung
CHIPS,Snack Kartoffel
CHLOR,Gelbes Gas im Pool
CHROM,Glaenzendes Metall
CLOWN,Figur im Zirkus
CURRY,Indisches Gewuerz
DACHS,Waldtier gestreift
DAMPF,Wasserhitzegas
DATUM,Kalendertag
DAUER,Zeitspanne
DECKE,Kuechentuch
DEGEN,Stichwaffe
DELLE,Eingedellte Stelle
DEPOT,Lager fuer Waren
DICHT,Ohne Luecken
DIEBE,Langfinger
DIELE,Flur im Haus
DIENT,Form von dienen
DIVAN,Liegemoebel
DOGGE,Grosser Hund
DONAU,Strom durch Wien
DOSIS,Menge bei Medizin
DRAHT,Duenner Metallfaden
DRAMA,Theaterstueck
