ABBE,Katholischer Geistlicher
ABEL,Biblischer Sohn Adams
ABER,Gegensatzwort
ABUS,Schlossmarke deutsche
ACHS,Wagenachsen
ACHT,Zahl nach sieben
ACKE,Landwirtschaftliche Flaeche
ADAM,Erster Mann der Bibel
ADEL,Vornehmer Stand
ADER,Blutgefaess
AEON,Sehr lange Zeit
AFFE,Primat im Zoo
AGAR,Geliermittel aus Algen
AGIL,Gelenkig beweglich
AGRO,Aggressiv umgangssprachlich
AHNE,Vorfahre in der Familie
AHOI,Matrosengruss
AIDA,Oper von Verdi
AIDS,Immunschwaechekrankheit
AJAX,Niederlaendischer Fussballclub
AKKU,Wiederaufladbare Batterie
AKNE,Hautkrankheit Pickel
AKTE,Amtsunterlage
AKUT,Dringend
ALDI,Discountmarkt deutsch
ALFA,Italienische Automarke
ALGA,Wassergewaechs
ALGE,Wasserpflanze
ALLE,Gesamtheit
ALLT,Taeglich
ALOE,Heilpflanze mit Gel
ALPE,Gebirge
ALSO,Folglich
ALTE,Bejahrter Mensch
AMEN,Gebetsabschluss
AMME,Saeuglingspflegerin
AMOK,Rasender Zustand
ANNA,Weiblicher Vorname
ANTI,Gegen Vorsilbe
APEX,Spitze hoechster Punkt
APPS,Handyanwendungen
AREA,Bereich englisch
ARIA,Opernstueck
ARIE,Gesangsstueck in der Oper
ARME,Glieder zum Greifen
AROM,Wohlriechend
ATEM,Luftholen
ATOM,Kleinstes Teilchen
AUCH,Ebenso
AUGE,Sehorgan
AULA,Schulsaal
AURA,Abstrahlung
AUTO,Fahrzeug vierradrig
AXIS,Drehachse
AZUR,Himmelblau
BABY,Neugeborenes Kind
BACH,Kleiner Wasserlauf
BAHN,Schienenverkehrsmittel
BAKE,Seezeichen im Wasser
BALD,In kurzer Zeit
BALL,Rundes Spielgeraet
BAND,Musikgruppe
BANG,Angstvoll
BANK,Geldinstitut
BANN,Verfluchen
BARK,Segelschiff
BART,Gesichtshaar
BASE,Cousine
BASS,Tiefer Ton
BAUM,Grosses Gewaechs mit Stamm
BEEF,Rindfleisch
BEET,Gartenabschnitt
BEIL,Hackwerkzeug
BEIN,Glied zum Gehen
BERG,Erhoehung im Gelaende
BERN,Hauptstadt der Schweiz
BETA,Zweiter griechischer Buchstabe
BETT,Platz zum Schlafen
BIER,Hopfengetraenk
BILD,Gemaltes oder Foto
BLAH,Langweilig englisch
BLAU,Farbe des Himmels
BLEI,Schweres Metall
BLEU,Blau franzoesisch
BLOG,Online Tagebuch
BLUT,Rote Koerperfluessigkeit
BOCK,Maennliche Ziege
BODE,Berliner Museumsinsel
BOHR,Form von bohren
BOJE,Schwimmfahne im Wasser
BOLL,Gross und rund
BONN,Fruehere deutsche Hauptstadt
BOOM,Ploetzlicher Aufschwung
BOOT,Kleines Wasserfahrzeug
BORD,Schiffsseite
BOSS,Chef auf Englisch
BOTE,Ueberbringer
BOWL,Schuessel auf Englisch
BRAN,Kleie
BRAT,Form von braten
BRAU,Stamm Bier
BRAV,Artig wohlerzogen
BREI,Puree weiche Speise
BROM,Chemisches Element
BROT,Gebackenes aus Teig
BUCH,Gebundene Seiten
BUDE,Einfache Huette
BUND,Vereinigung
BURG,Befestigtes Schloss
BYTE,Acht Bit Datenmenge
CAFE,Kaffeehaus
CALM,Ruhig englisch
CAMP,Lagerplatz
CAPT,Kapitaen Kurzform
CARE,Sorge englisch
CASH,Bargeld englisch
CAST,Filmbesetzung
CENT,Kleine Muenzeinheit
CHAT,Gespraech im Netz
CHEF,Vorgesetzter
CHIC,Elegant
CHIP,Kleines Bauteil
CHOR,Gruppe von Saengern
CITY,Innenstadt
CLAN,Sippe
CLUB,Verein
CODE,Geheimzeichen
COLA,Braunes Getraenk suess
COMB,Kamm englisch
COME,Komm englisch
COOK,Koch englisch
COOL,Lassig oder kuhl
COPY,Kopie englisch
CORE,Kern englisch
CREW,Mannschaft
CURL,Haarlocke
CUTS,Schnitte englisch
DACH,Hausabschluss oben
DAME,Hoefliche Anrede Frau
DAMM,Wasserwall
DANK,Gefuehl der Wertschaetzung
DANN,Zeitfolge
DARM,Teil des Verdauungssystems
DATE,Verabredung
DEAL,Geschaeft englisch
DECK,Schiffsboden
DEIN,Dir gehoerend
DEMO,Kundgebung
DENK,Form von denken
DENN,Denn weil
DICH,Akkusativ du
DICK,Nicht duenn
DIEB,Jemand der stiehlt
DILL,Gruenes Kraut
DING,Gegenstand
DISC,Scheibe fuer Musik
DIVA,Gefeierte Saengerin
DOCH,Gegenbehauptung
DOCK,Schiffswerftbereich
DOOF,Dumm umgangssprachlich
DORF,Kleine laendliche Siedlung
DOSE,Kleiner Behaelter
DRAN,Dabei
DRAU,Nebenfluss der Donau
DREH,Form von drehen
DREI,Zahl nach zwei
DRIN,In etwas
DUFT,Angenehmer Geruch
DUNG,Tierkot
DURR,Mager
EASY,Einfach auf Englisch
EBBE,Niedrigwasser
EBEN,Glatt oder gerade
EBNE,Glatte Flaeche
ECHO,Zurueckgeworfener Schall
ECHT,Nicht gefaelscht
EDEL,Vornehm wertvoll
EDER,Fluss Hessen
EDIT,Bearbeiten englisch
EDLE,Vornehme Personen
EGAL,Gleichgueltig
EHER,Mehr noch
EHRE,Ansehen
EIER,Fortpflanzungszellen
EILE,Hast
EILT,Ist in Eile
EINE,Erste unbestimmt weiblich
EINS,Erste Zahl
EISE,Gefrorene Mengen
EKEL,Abscheu
ELAN,Schwung
ELBE,Deutscher Fluss im Norden
ELCH,Grosses Hirschtier
ELFE,Maerchenwesen
EMIR,Arabischer Fuerst
ENDE,Schluss
ENGE,Nicht weit
ENTE,Grauweisser Wasservogel
EPOS,Langes Heldengedicht
ERBE,Nachlass
ERDE,Unser Planet
ERLE,Laubbaum an Gewaessern
ERST,Anfangs
ERZE,Metallhaltige Gesteine
ESEL,Graues Reittier
ESSE,Kamin
ETAT,Haushaltsbudget
ETUI,Aufbewahrungskaestchen
EULE,Nachtaktiver Vogel
EWIG,Fuer immer
EXAM,Pruefung Kurzform
EYES,Augen englisch
FACH,Abteilung
FADE,Langweilig
FAHL,Blass in der Farbe
FAHR,Imperativ fahren
FAIR,Gerecht
FALL,Sturz
FAME,Ruhm englisch
FANG,Beute oder Zahn
FARM,Bauernhof englisch
FARN,Schattenpflanze
FASS,Rundes Lagerbehaelter
FAST,Nahezu
FAUL,Traege
FAUN,Waldgott
FAUX,Falsch franzoesisch
FAVE,Liebling englisch
FEIN,Edel zart
FELD,Ackerland
FELL,Tierhaut
FELS,Grosser Stein
FERN,Weit entfernt
FEST,Feier oder stabil
FIEL,Sturz Vergangenheit
FILM,Bewegte Bilder
FILZ,Haarfaserstoff
FIND,Imperativ finden
FINK,Singvogel
FLIP,Umdrehung beim Turnen
FLOH,Kleiner Parasit
FLOR,Dichtes Pflanzenwachstum
FLOT,Schnell
FLUG,Reise durch die Luft
FLUR,Gang im Haus
FLUT,Hochwasser
FOHN,Warmer Wind
FOPP,Form von foppen
FORM,Aeussere Gestalt
FORT,Weg von hier
FOTO,Lichtbild
FOUL,Regelverstoss im Sport
FRAU,Erwachsene weiblich
FREI,Unabhaengig
FROH,Fuehlt sich gut
FRUH,Vormittags
FUER,Bestimmt fuer
FUGE,Ritze zwischen Steinen
FUND,Unerwartete Entdeckung
FUNK,Kabellose Uebertragung
FUSS,Koerperteil zum Stehen
GABE,Geschenk oder Talent
GAGA,Verrueckt umgangssprachlich
GAGE,Kuenstlerhonorar
GALA,Festveranstaltung
GAME,Spiel englisch
GANG,Flur oder Schritt
GANS,Grosser Wasservogel
GANZ,Vollstaendig
GARN,Faden zum Naehen
GAST,Besucher
GEBE,Forme von geben
GEHE,Form von gehen
GEIL,Prima umgangssprachlich
GEIZ,Knickrigkeit
GELB,Farbe der Sonne
GELD,Zahlungsmittel
GENE,Erbanlagen
GENF,Schweizer Stadt am See
GERN,Mit Freude
GIER,Starkes Verlangen
GIFT,Schaedlicher Stoff
GIGE,Singe
GIPS,Baustoff aus Pulver
GIRO,Bankkonto
GLAS,Durchsichtiges Material
GLUT,Heisse Kohle
GOAL,Tor auf Englisch
GOAS,Ziegenmehrzahl
GOLD,Edles Metall
GOLF,Ballsport auf Rasen
GOSS,Form von giessen
GOTT,Hoeheres Wesen
GRAB,Beerdigungsstelle
GRAD,Stufe der Temperatur
GRAF,Adelstitel
GRAS,Gruene Halme
GRAU,Farbe zwischen weiss und schwarz
GROB,Nicht fein
GROG,Heisses Mixgetraenk
GURT,Breiter Riemen
HAAR,Kopfbehaarung
HACK,Gehacktes Fleisch
HAFF,Kuestenlagune
HAFT,Gefangenschaft
HAGE,Dornbusch
HAHN,Maennliches Huhn
HAIN,Kleiner Wald
HAIR,Haar englisch
HAKE,Bogenfoermig
HALB,Die Haelfte
HALL,Widerhall
HALM,Getreidestengel
HALS,Koerperteil
HALT,Stopp
HAMM,Wiesenstueck
HAND,Greiforgan
HANF,Faserpflanze
HANG,Abschuessig
HARD,Englisch fuer hart
HARK,Hoere archaisch
HARM,Schaden poetisch
HART,Fest steinhart
HARZ,Baumsaft
HASE,Langohriges Tier
HASS,Feindseligkeit
HAUS,Wohngebaeude
HAUT,Koerperhuelle
HECK,Hinterer Fahrzeugteil
HEER,Armee
HEFE,Backpilz
HEFT,Duennes Schulbuch
HEIL,Gesund
HEIM,Wohnstaette
HEIZ,Stamm heizen
HELD,Tapfere Person
HELI,Hubschrauber Abkuerzung
HELL,Nicht dunkel
HEMD,Oberteil mit Aermeln
HEMM,Bremse
HERB,Unsuess
HERD,Kuechengeraet
HERR,Maennliche Anrede
HERZ,Motor des Koerpers
HESS,Deutscher Politiker
HEXE,Zauberin
HIEB,Schlag
HIER,An diesem Ort
HINT,Leichter Hinweis
HIRN,Denkorgan
HIRT,Schafhueter
HOCH,Weit oben
HOLD,Liebreizend
HOLE,Hol herbei
HOLM,Sportgeraet am Barren
HOLZ,Baummaterial
HOME,Zuhause englisch
HOMO,Gleich griechisch
HOPP,Aufforderung schnell
HORN,Kopfschmuck eines Tieres
HORT,Sicherer Platz
HOSE,Beinkleidung
HUHN,Eierlegender Vogel
HUND,Bellendes Haustier
HUPE,Warnsignal am Auto
IBIS,Storchartiger Vogel
ICKY,Eklig englisch
IDEE,Geistiger Einfall
IDOL,Verehrtes Objekt
IGEL,Stacheliges Tier
IGLU,Inuit Haus aus Eis
ILSE,Weiblicher Vorname
IMAM,Islamischer Vorbeter
IMKE,Weiblicher Vorname
IMMI,Vorname weiblich kurz
INCH,Englisches Zollmass
INKA,Altes Andenvolk
IRAK,Arabisches Land
IRAN,Vorderasiatisches Land
IRIS,Blume Regenbogenhaut
IRRE,Verrueckte Person
ISAR,Bayerischer Fluss
JADE,Gruener Edelstein
JAGD,Suche nach Wild
JAHR,Zwoelf Monate
JAWA,Insel
JAZZ,Musik aus Amerika
JEDE,Jede Einzelne
JELL,Gelatineartig
JENE,Demonstrativ fern
JEST,Scherz englisch
JETT,Schwarzes Schmuckmaterial
JIVE,Schneller Tanz
JOCH,Gebirgspass
JODL,Alpenruf
JOGA,Entspannungsuebung
JUDE,Anhaenger des Judentums
JUDO,Kampfsport
JUMP,Springe englisch
JUNG,Nicht alt
JUNI,Sechster Monat
JURA,Rechtswissenschaft
JURY,Bewertungsausschuss
KAFF,Kleines Dorf
KAHL,Ohne Haare
KAHN,Kleines Boot
KAKI,Orangefarbene Frucht
KALB,Junges Rind
KALI,Chemisches Salz
KALK,Weisser Stein
KALM,Windstille
KALT,Niedrige Temperatur
KAMM,Haargeraet
KANN,Form von koennen
KANU,Schmales Boot
KARG,Spaerlich
KARL,Maennlicher Vorname
KARO,Rautenform
KATE,Einfaches Haus
KAUE,Zerkleinere mit Zaehnen
KAUF,Einkauf
KAUM,Knapp
KAUT,Form von kauen
KEHL,Halsbezogen
KEIM,Pflanzenanfang
KEIN,Nicht einer
KERB,Einschnitt
KERL,Derber Mann
KERN,Zentrum
KICK,Tritt
KIDS,Kinder englisch
KIEL,Schiffsteil unten
KILO,Tausend Gramm
KIND,Junger Mensch
KINN,Untergesicht
KIPP,Form von kippen
